"","ARIK_2016_03","ARIK_2016_07","ARIK_2016_09","ARIK_2017_03","ARIK_2017_07","ARIK_2017_10","ARIK_2018_03","ARIK_2018_07","ARIK_2018_10","ARIK_2019_03","ARIK_2019_07","ARIK_2019_10","ARIK_2020_10","ARIK_2021_03","ARIK_2021_07","ARIK_2022_03","ARIK_2022_07","ARIK_2022_11","ARIK_2023_03","ARIK_2023_07","ARIK_2023_11","ARIK_2024_03","ARIK_2024_07"
"ARIK_2016_03",0,0.937420305923744,0.992894426588863,0.789033007316835,0.936096136011065,0.932864820407216,0.854812498391271,0.930034240918162,0.953896438050901,0.952488870600307,0.928154895315435,0.99425224948252,0.927039604010134,0.799930562717518,0.936928712436033,0.712204231584523,0.979490292215938,0.706836473189302,0.703559506746254,0.965683825290845,0.773260518441819,0.851417741264897,0.963639045687862
"ARIK_2016_07",0.937420305923744,0,0.723108174261591,0.829437592509007,0.405620790021031,0.58808057718409,0.929728248611581,0.470909467785766,0.818807182071099,0.978973089660569,0.396468359052799,0.861343161630607,0.825107296999595,0.978294496083991,0.371457167387902,0.980876579305734,0.766756984235565,0.979004262851659,0.954112778247065,0.643017650124289,0.975340426912196,0.887277709612362,0.468713391199331
"ARIK_2016_09",0.992894426588863,0.723108174261591,0,0.954924786567685,0.79353685638255,0.783461768046256,0.97562590810677,0.544720430594257,0.547052896345677,0.988968817329954,0.809833267312123,0.769816888831044,0.979816680787343,0.999974559736641,0.675728352376519,0.999883759045302,0.889359718625864,0.997050829535952,0.998894515812511,0.886823688138821,0.99469462801388,0.973656439410888,0.420748069547355
"ARIK_2017_03",0.789033007316835,0.829437592509007,0.954924786567685,0,0.84329685315345,0.909065768628518,0.340720761421299,0.870208565455259,0.91622026408987,0.795331036311219,0.842865492525838,0.986538790550013,0.797532926957534,0.814550231409958,0.84713241261236,0.872917542329896,0.944497107784405,0.799432398428398,0.768230655403241,0.868894259505866,0.821499606200452,0.829407245932075,0.908126051276438
"ARIK_2017_07",0.936096136011065,0.405620790021031,0.79353685638255,0.84329685315345,0,0.897546071964552,0.965056767140854,0.352168156447118,0.80307183093498,0.986366640241441,0.0318254555422935,0.902517283257067,0.784106279490987,0.996538796549614,0.288324829161945,0.994533962889703,0.673907153187829,0.985136281357247,0.999113231384231,0.51880085124021,0.957473115478883,0.93235368514691,0.475624703751943
"ARIK_2017_10",0.932864820407216,0.58808057718409,0.783461768046256,0.909065768628518,0.897546071964552,0,0.512341947402597,0.78842979439042,0.425955271960444,0.961942069711121,0.915780653182161,0.790638418439799,0.405578655622837,0.853820600197726,0.818786456418482,0.772595575670083,0.91419707216152,0.791347788455317,0.889321477444938,0.849799389510846,0.838714844309295,0.883345974692976,0.735230994821586
"ARIK_2018_03",0.854812498391271,0.929728248611581,0.97562590810677,0.340720761421299,0.965056767140854,0.512341947402597,0,0.897600037603177,0.6870001365382,0.771069898225474,0.966811848630731,0.89728472161829,0.477268674212473,0.72718849077686,0.912982429776665,0.626917295805797,0.957396672993648,0.764615469795239,0.918833246779009,0.769074584283021,0.810829337494583,0.747766946122831,0.923858901935138
"ARIK_2018_07",0.930034240918162,0.470909467785766,0.544720430594257,0.870208565455259,0.352168156447118,0.78842979439042,0.897600037603177,0,0.424256381620867,0.982952388841165,0.257745797503128,0.837338880791122,0.81005697986827,0.922451204041951,0.25659073931287,0.871373940017117,0.710313445080806,0.98735038507263,0.989275054945397,0.671915265068402,0.975191938627177,0.937157807500394,0.245036624262106
"ARIK_2018_10",0.953896438050901,0.818807182071099,0.547052896345677,0.91622026408987,0.80307183093498,0.425955271960444,0.6870001365382,0.424256381620867,0,0.959681567649712,0.758281382032764,0.762012064070301,0.501858520942326,0.952598275490621,0.719624486847448,0.912709788175844,0.942292487326143,0.83545734916499,0.983305834596265,0.919825492578409,0.876859479998964,0.952799152025505,0.400766087513745
"ARIK_2019_03",0.952488870600307,0.978973089660569,0.988968817329954,0.795331036311219,0.986366640241441,0.961942069711121,0.771069898225474,0.982952388841165,0.959681567649712,0,0.988481938904154,0.992867151633404,0.929825997115296,0.494331899327544,0.986354255052224,0.750026255998009,0.995718923970733,0.931562374606919,0.862773312055107,0.977656949527679,0.93907352853734,0.127132779569252,0.96161421689443
"ARIK_2019_07",0.928154895315435,0.396468359052799,0.809833267312123,0.842865492525838,0.0318254555422935,0.915780653182161,0.966811848630731,0.257745797503128,0.758281382032764,0.988481938904154,0,0.894041371120934,0.778097546989362,0.99252064811911,0.241065286348352,0.986080102101775,0.641630805889466,0.981776048577711,0.994926299700493,0.520909143801158,0.960179456232348,0.936299383334745,0.462494890149499
"ARIK_2019_10",0.99425224948252,0.861343161630607,0.769816888831044,0.986538790550013,0.902517283257067,0.790638418439799,0.89728472161829,0.837338880791122,0.762012064070301,0.992867151633404,0.894041371120934,0,0.907500941939278,0.993175151773873,0.76461872746349,0.989110529729971,0.91298158266661,0.945948367544846,0.991114649617172,0.252350632692827,0.970288241006604,0.959599834962994,0.700985531964294
"ARIK_2020_10",0.927039604010134,0.825107296999595,0.979816680787343,0.797532926957534,0.784106279490987,0.405578655622837,0.477268674212473,0.81005697986827,0.501858520942326,0.929825997115296,0.778097546989362,0.907500941939278,0,0.857769300927487,0.778766125534724,0.756924920148952,0.901791803583607,0.803457133629167,0.990973398520947,0.859312026408064,0.847272904980655,0.939554690797748,0.863454224222644
"ARIK_2021_03",0.799930562717518,0.978294496083991,0.999974559736641,0.814550231409958,0.996538796549614,0.853820600197726,0.72718849077686,0.922451204041951,0.952598275490621,0.494331899327544,0.99252064811911,0.993175151773873,0.857769300927487,0,0.993072291652942,0.226441765557296,0.948080449830684,0.839786117333252,0.309124766285542,0.982880878311506,0.826455535663997,0.311835417731097,0.911023431947451
"ARIK_2021_07",0.936928712436033,0.371457167387902,0.675728352376519,0.84713241261236,0.288324829161945,0.818786456418482,0.912982429776665,0.25659073931287,0.719624486847448,0.986354255052224,0.241065286348352,0.76461872746349,0.778766125534724,0.993072291652942,0,0.983304959135831,0.507909931042119,0.961188217193167,0.981590366403595,0.458846410773799,0.96403606401838,0.932099581582984,0.362600617573114
"ARIK_2022_03",0.712204231584523,0.980876579305734,0.999883759045302,0.872917542329896,0.994533962889703,0.772595575670083,0.626917295805797,0.871373940017117,0.912709788175844,0.750026255998009,0.986080102101775,0.989110529729971,0.756924920148952,0.226441765557296,0.983304959135831,0,0.928632451301475,0.93285321152656,0.633382873565686,0.98480018884545,0.960837581969048,0.653108496073262,0.881832135335561
"ARIK_2022_07",0.979490292215938,0.766756984235565,0.889359718625864,0.944497107784405,0.673907153187829,0.91419707216152,0.957396672993648,0.710313445080806,0.942292487326143,0.995718923970733,0.641630805889466,0.91298158266661,0.901791803583607,0.948080449830684,0.507909931042119,0.928632451301475,0,0.989383935954807,0.980231743182072,0.73353226309088,0.986052131387731,0.960086029866771,0.771720760431752
"ARIK_2022_11",0.706836473189302,0.979004262851659,0.997050829535952,0.799432398428398,0.985136281357247,0.791347788455317,0.764615469795239,0.98735038507263,0.83545734916499,0.931562374606919,0.981776048577711,0.945948367544846,0.803457133629167,0.839786117333252,0.961188217193167,0.93285321152656,0.989383935954807,0,0.684042409615431,0.972106613033447,0.098513221240479,0.660730281929023,0.991458447452096
"ARIK_2023_03",0.703559506746254,0.954112778247065,0.998894515812511,0.768230655403241,0.999113231384231,0.889321477444938,0.918833246779009,0.989275054945397,0.983305834596265,0.862773312055107,0.994926299700493,0.991114649617172,0.990973398520947,0.309124766285542,0.981590366403595,0.633382873565686,0.980231743182072,0.684042409615431,0,0.984361851021928,0.76679841490001,0.613682787398887,0.973996236561819
"ARIK_2023_07",0.965683825290845,0.643017650124289,0.886823688138821,0.868894259505866,0.51880085124021,0.849799389510846,0.769074584283021,0.671915265068402,0.919825492578409,0.977656949527679,0.520909143801158,0.252350632692827,0.859312026408064,0.982880878311506,0.458846410773799,0.98480018884545,0.73353226309088,0.972106613033447,0.984361851021928,0,0.980246734993582,0.901217766506348,0.677266328504488
"ARIK_2023_11",0.773260518441819,0.975340426912196,0.99469462801388,0.821499606200452,0.957473115478883,0.838714844309295,0.810829337494583,0.975191938627177,0.876859479998964,0.93907352853734,0.960179456232348,0.970288241006604,0.847272904980655,0.826455535663997,0.96403606401838,0.960837581969048,0.986052131387731,0.098513221240479,0.76679841490001,0.980246734993582,0,0.701911266329286,0.981200702302768
"ARIK_2024_03",0.851417741264897,0.887277709612362,0.973656439410888,0.829407245932075,0.93235368514691,0.883345974692976,0.747766946122831,0.937157807500394,0.952799152025505,0.127132779569252,0.936299383334745,0.959599834962994,0.939554690797748,0.311835417731097,0.932099581582984,0.653108496073262,0.960086029866771,0.660730281929023,0.613682787398887,0.901217766506348,0.701911266329286,0,0.908743141070979
"ARIK_2024_07",0.963639045687862,0.468713391199331,0.420748069547355,0.908126051276438,0.475624703751943,0.735230994821586,0.923858901935138,0.245036624262106,0.400766087513745,0.96161421689443,0.462494890149499,0.700985531964294,0.863454224222644,0.911023431947451,0.362600617573114,0.881832135335561,0.771720760431752,0.991458447452096,0.973996236561819,0.677266328504488,0.981200702302768,0.908743141070979,0
