"","Sample","MDS1","MDS2","Season","SeasonName"
"1","ARIK_2016_03",-0.403658465476871,0.124417723161775,1,"Spring"
"2","ARIK_2016_07",0.285834671018095,-0.0419930522587617,2,"Summer"
"3","ARIK_2016_09",0.478528297112952,0.137956411241998,3,"Fall"
"4","ARIK_2017_03",-0.124949635613656,-0.140307832704449,1,"Spring"
"5","ARIK_2017_07",0.355034194524559,-0.131452352596881,2,"Summer"
"6","ARIK_2017_10",0.0318536156802423,0.189375961831652,3,"Fall"
"7","ARIK_2018_03",-0.184283380221533,0.0539238966168526,1,"Spring"
"8","ARIK_2018_07",0.233449919804481,-0.0599625625716284,2,"Summer"
"9","ARIK_2018_10",0.148500450600335,0.201320462039492,3,"Fall"
"10","ARIK_2019_03",-0.372122325614431,-0.338726243160642,1,"Spring"
"11","ARIK_2019_07",0.33474686263941,-0.129323067901513,2,"Summer"
"12","ARIK_2019_10",0.32441155058508,0.295204294111266,3,"Fall"
"13","ARIK_2020_10",-0.00368269453026105,0.129218324270459,3,"Fall"
"14","ARIK_2021_03",-0.397640595459225,-0.0990194408787669,1,"Spring"
"15","ARIK_2021_07",0.315999419440185,-0.0192874049565324,2,"Summer"
"16","ARIK_2022_03",-0.346454909218213,-0.19517156050292,1,"Spring"
"17","ARIK_2022_07",0.290980781762389,-0.315197645873661,2,"Summer"
"18","ARIK_2022_11",-0.328578945123323,0.280658120000215,3,"Fall"
"19","ARIK_2023_03",-0.507689717781987,-0.0273407370007192,1,"Spring"
"20","ARIK_2023_07",0.229548083391987,-0.173404222551717,2,"Summer"
"21","ARIK_2023_11",-0.312069931757039,0.309471078469737,3,"Fall"
"22","ARIK_2024_03",-0.313896658138149,-0.0935232203771966,1,"Spring"
"23","ARIK_2024_07",0.266139412374973,0.0431630715919432,2,"Summer"
